iter	Logloss
0	0.1962412809
1	0.06167249526
2	0.02235278278
3	0.01044877603
4	0.0062175038
5	0.004493398413
6	0.003546795993
7	0.003045605668
8	0.002760847093
9	0.002565917572
10	0.002427549863
11	0.00231441367
12	0.002177137834
13	0.002058759795
14	0.001998742562
15	0.001948014012
16	0.001925898438
17	0.001876288888
18	0.001852384554
19	0.001813487189
20	0.001778958046
21	0.001761302672
22	0.001739325344
23	0.001689223254
24	0.001656909116
25	0.00164414428
26	0.001630359823
27	0.001594445905
28	0.001580123188
29	0.001563765508
30	0.001529795242
31	0.001518447815
32	0.001512763062
33	0.001490271111
34	0.001464913696
35	0.001442103817
36	0.001425960925
37	0.001405743582
38	0.001387322546
39	0.001377217873
40	0.001367205383
41	0.001348707432
42	0.001342680963
43	0.001329744283
44	0.001307473863
45	0.001296424692
46	0.001285831808
47	0.001254243587
48	0.001248792649
49	0.001232039433
50	0.001222529468
51	0.001207949107
52	0.001197402891
53	0.001166258072
54	0.00115943996
55	0.001132810998
56	0.001119057779
57	0.001089890288
58	0.001083171635
59	0.001059592738
60	0.001052858519
61	0.00104121116
62	0.001022632145
63	0.001008848911
64	0.0009950338896
65	0.0009853301325
66	0.0009619529918
67	0.0009560203809
68	0.0009511221582
69	0.0009461001583
70	0.0009427958204
71	0.0009385940208
72	0.0009191206948
73	0.0009145491226
74	0.0009058825563
75	0.000900611567
76	0.0008830676452
77	0.0008784189711
78	0.0008688645124
79	0.0008637262898
80	0.0008570932144
81	0.0008528274564
82	0.0008493056077
83	0.0008180623725
84	0.0008051732514
85	0.0008000524083
86	0.0007902083986
87	0.0007865755874
88	0.0007792098451
89	0.0007708432957
90	0.0007678137949
91	0.0007651402987
92	0.0007514178133
93	0.0007437000775
94	0.0007347098807
95	0.000731388573
96	0.0007255988195
97	0.0007187770895
98	0.0007138487422
99	0.0007119127207
100	0.0006978505878
101	0.000689761421
102	0.0006810981468
103	0.0006765389881
104	0.0006722824011
105	0.0006661765402
106	0.0006604874649
107	0.0006589053998
108	0.000650510112
109	0.0006487627664
110	0.0006416920443
111	0.0006371375648
112	0.000626825614
113	0.0006195027369
114	0.000614529947
